"","cage_id","animal_id","ds"
"1","38","38-2",0.923076923076923
"2","38","38-3",1.80769230769231
"3","38","38-4",1.03846153846154
"4","38","38-5",2.23076923076923
"5","41","41-1",2.46153846153846
"6","41","41-2",1.23076923076923
"7","41","41-3",0.538461538461539
"8","41","41-4",3.38461538461538
"9","41","41-5",2.38461538461539
"10","47","47-1",1.38461538461538
"11","47","47-2",2.69230769230769
"12","47","47-3",1
"13","47","47-4",3.23076923076923
"14","47","47-5",1.69230769230769
"15","50","50-1",3.76923076923077
"16","50","50-2",1.69230769230769
"17","50","50-3",1.15384615384615
"18","50","50-4",1.76923076923077
"19","50","50-5",1.61538461538462
"20","74","74-1",3.42307692307692
"21","74","74-2",0.807692307692308
"22","74","74-3",2.38461538461538
"23","74","74-4",1.15384615384615
"24","74","74-5",2.23076923076923
"25","77","77-1",0.923076923076923
"26","77","77-2",2.73076923076923
"27","77","77-3",1.65384615384615
"28","77","77-4",0.692307692307692
"29","86","86-1",2.15384615384615
"30","86","86-2",1.07692307692308
"31","86","86-3",1.07692307692308
"32","86","86-4",2
"33","86","86-5",3.69230769230769
"34","110","110-1",3.53846153846154
"35","110","110-2",2.15384615384615
"36","110","110-3",2.30769230769231
"37","110","110-4",1.11538461538462
"38","110","110-5",0.884615384615384
"39","113","113-1",0.769230769230769
"40","113","113-2",2.07692307692308
"41","113","113-3",3.23076923076923
"42","113","113-4",1.92307692307692
"43","113","113-5",2
"44","119","119-1",0.923076923076923
"45","119","119-2",1.53846153846154
"46","119","119-3",2.84615384615385
"47","119","119-4",2.53846153846154
"48","119","119-5",2.15384615384615
"49","122","122-1",3.23076923076923
"50","122","122-2",3.15384615384615
"51","122","122-3",0.923076923076923
"52","122","122-4",0.461538461538462
"53","122","122-5",2.23076923076923
"54","146","146-1",2.23076923076923
"55","146","146-2",1
"56","146","146-3",3.53846153846154
"57","146","146-4",2.53846153846154
"58","146","146-5",0.692307692307692
"59","149","149-1",1.07692307692308
"60","149","149-2",2.76923076923077
"61","149","149-3",3.76923076923077
"62","149","149-4",1.23076923076923
"63","149","149-5",1.15384615384615
"64","155","155-1",1.30769230769231
"65","155","155-2",2.15384615384615
"66","155","155-3",3.76923076923077
"67","155","155-4",0.846153846153846
"68","155","155-5",1.92307692307692
"69","158","158-1",2.61538461538462
"70","158","158-2",3.69230769230769
"71","158","158-3",1.11538461538462
"72","158","158-4",0.884615384615385
"73","158","158-5",1.69230769230769
"74","173","173-1",1.07692307692308
"75","173","173-2",1.38461538461538
"76","173","173-3",1.23076923076923
"77","173","173-4",2.76923076923077
"78","173","173-5",3.53846153846154
"79","176","176-1",1.92307692307692
"80","176","176-2",3.46153846153846
"81","176","176-3",2.69230769230769
"82","176","176-4",0.692307692307692
"83","176","176-5",1.23076923076923
"84","182","182-1",1.03846153846154
"85","182","182-2",3.84615384615385
"86","182","182-3",1.15384615384615
"87","182","182-4",2.84615384615385
"88","182","182-5",1.11538461538462
"89","185","185-1",0.230769230769231
"90","185","185-2",3.84615384615385
"91","185","185-3",1.53846153846154
"92","185","185-4",2.23076923076923
"93","185","185-5",2.15384615384615
